date,tacos,sandwiches,kebabs,isPartial
2014-05-25,14,5,1,False
2014-06-01,15,5,1,False
2014-06-08,15,5,1,False
2014-06-15,16,6,1,False
2014-06-22,16,6,1,False
2014-06-29,16,5,1,False
2014-07-06,16,6,1,False
2014-07-13,16,6,1,False
2014-07-20,17,6,1,False
2014-07-27,17,6,1,False
2014-08-03,17,6,1,False
2014-08-10,16,5,1,False
2014-08-17,16,6,1,False
2014-08-24,16,5,1,False
2014-08-31,15,5,1,False
2014-09-07,15,5,1,False
2014-09-14,16,5,1,False
2014-09-21,16,5,1,False
2014-09-28,16,5,1,False
2014-10-05,15,5,1,False
2014-10-12,15,5,1,False
2014-10-19,15,5,1,False
2014-10-26,14,5,1,False
2014-11-02,14,5,1,False
2014-11-09,15,5,1,False
2014-11-16,15,5,1,False
2014-11-23,13,4,1,False
2014-11-30,14,5,1,False
2014-12-07,14,5,1,False
2014-12-14,14,5,1,False
2014-12-21,14,5,1,False
2014-12-28,16,5,1,False
2015-01-04,16,5,1,False
2015-01-11,16,5,1,False
2015-01-18,16,5,1,False
2015-01-25,16,5,1,False
2015-02-01,16,5,1,False
2015-02-08,16,5,1,False
2015-02-15,17,5,1,False
2015-02-22,16,5,1,False
2015-03-01,17,5,1,False
2015-03-08,17,5,1,False
2015-03-15,17,5,1,False
2015-03-22,17,5,1,False
2015-03-29,17,5,1,False
2015-04-05,17,5,1,False
2015-04-12,17,5,1,False
2015-04-19,18,5,1,False
2015-04-26,18,6,1,False
2015-05-03,21,6,1,False
2015-05-10,17,6,1,False
2015-05-17,17,6,1,False
2015-05-24,18,5,1,False
2015-05-31,18,6,1,False
2015-06-07,17,6,1,False
2015-06-14,18,6,1,False
2015-06-21,19,6,1,False
2015-06-28,18,6,2,False
2015-07-05,18,6,1,False
2015-07-12,19,6,1,False
2015-07-19,19,6,1,False
2015-07-26,19,6,1,False
2015-08-02,20,6,1,False
2015-08-09,19,6,1,False
2015-08-16,19,6,1,False
2015-08-23,19,6,1,False
2015-08-30,19,6,1,False
2015-09-06,19,6,1,False
2015-09-13,19,6,1,False
